Sparsification fractions,Ensemble_rmse_values_Train,Ensemble_rmse_values_Test,Ensemble_rmse_values_OOD_EXP,Ensemble_rmse_values_OOD_MD
0.0,3.7633286,29.15547307492303,37.41364619884297,74.91419904662864
0.001,3.7260494,29.15547307492303,37.41364619884297,74.91419904662864
0.002,3.7163017,29.14466152195342,37.41364619884297,74.96240237501304
0.003,3.7129126,29.143988410910442,37.41364619884297,74.96240237501304
0.004,3.7075498,29.143988410910442,37.41364619884297,74.4415386654731
0.005,3.707666,29.153381863709786,37.09241747250328,74.4415386654731
0.006,3.6662524,29.117583710926095,37.09241747250328,73.97007216519167
0.007,3.6669686,29.117583710926095,37.09241747250328,73.97007216519167
0.008,3.6683445,29.048085100022178,37.09241747250328,74.02779126150217
0.009000000000000001,3.6605613,29.06476664551791,36.64302843903655,73.89053790024613
0.01,3.6592407,29.06476664551791,36.64302843903655,73.89053790024613
0.011,3.6333752,29.075868766048465,36.64302843903655,73.91981144860772
0.012,3.6288345,29.09702031698976,36.64302843903655,73.91981144860772
0.013000000000000001,3.630055,29.09702031698976,36.3080602541547,73.92900985659922
0.014,3.6239364,29.044664651886468,36.3080602541547,73.92900985659922
0.015,3.6121619,29.06452347097198,36.3080602541547,73.8474521677909
0.016,3.6122742,29.00091251170646,36.3080602541547,73.49821252816976
0.017,3.6124883,29.00091251170646,35.61341219959594,73.49821252816976
0.018000000000000002,3.6013513,29.005805552836854,35.61341219959594,73.5628925341075
0.019,3.589068,29.025074024572362,35.61341219959594,73.5628925341075
0.02,3.5824468,29.025074024572362,35.61341219959594,73.62897378486223
0.021,3.581928,28.91234553288873,35.68034504530252,73.62897378486223
0.022,3.5454586,28.931036427417585,35.68034504530252,73.32929382236597
0.023,3.5375776,28.931036427417585,35.68034504530252,73.21889330169486
0.024,3.5381978,28.872488806134417,35.68034504530252,73.21889330169486
0.025,3.5387206,28.759569027212123,35.751920977952246,73.22231860216876
0.026000000000000002,3.5140998,28.759569027212123,35.751920977952246,73.22231860216876
0.027,3.5074594,28.737896335840073,35.751920977952246,73.28866381042091
0.028,3.4604402,28.759154033652134,35.751920977952246,73.28866381042091
0.029,3.4058077,28.765490297330782,35.751920977952246,72.91117251131466
0.03,3.4053295,28.765490297330782,35.49527761144496,72.91117251131466
0.031,3.4064305,28.60874919522877,35.49527761144496,72.7200306799663
0.032,3.3921134,28.555928556209274,35.49527761144496,72.58897246689384
0.033,3.3917637,28.555928556209274,35.49527761144496,72.58897246689384
0.034,3.3929203,28.469603993687958,35.5553829639516,72.63431241090136
0.035,3.2894025,28.306492714552864,35.5553829639516,72.63431241090136
0.036000000000000004,3.2905478,28.306492714552864,35.5553829639516,72.70076602576486
0.037,3.2844527,28.284965207469412,35.5553829639516,72.70076602576486
0.038,3.2590845,28.306127692460425,35.613861243122386,72.70544634393835
0.039,3.260001,28.306127692460425,35.613861243122386,72.77220115131297
0.04,3.2079828,28.326147670495253,35.613861243122386,72.77220115131297
0.041,3.1612418,28.26459026133355,35.613861243122386,72.82954838549617
0.042,3.1618593,28.274923094280645,35.644220048904074,72.82954838549617
0.043000000000000003,3.162514,28.274923094280645,35.644220048904074,72.89230907130137
0.044,3.1117663,28.277666346833488,35.644220048904074,72.89230907130137
0.045,3.1126711,28.277138566873695,35.644220048904074,72.95462844935028
0.046,3.1126342,28.277138566873695,35.72119279365584,72.95129284396079
0.047,3.111611,28.136075420919845,35.72119279365584,72.95129284396079
0.048,3.0361934,28.151844639221867,35.72119279365584,73.01651719276163
0.049,3.0372977,28.151844639221867,35.72119279365584,73.01651719276163
0.05,3.038254,28.14208789869935,35.7733051877131,73.05971342923837
0.051000000000000004,3.0392396,28.143647319550762,35.7733051877131,73.05971342923837
0.052000000000000005,2.8163218,28.143647319550762,35.7733051877131,73.12770301776246
