Sparsification_fractions,EDL_rmse_values_Train,EDL_rmse_values_Test,EDL_rmse_values_OOD_EXP,EDL_rmse_values_OOD_MD
0.02,16.659335381386683,35.05242110694836,37.05807640340921,70.50185022572424
0.04,16.26485273981687,34.084188923446035,36.88448534572714,69.53168024853233
0.06,16.007516910149366,33.09931077411605,37.19853088569755,69.77628672661034
0.08,15.931428176526712,33.109703914968435,37.44885266999526,69.90725329918091
0.1,15.803384115001757,32.2902868517617,37.59943384645181,69.29001283578404
0.12000000000000001,15.656004450963419,31.831152018956022,37.51243811832299,69.44501890875273
0.13999999999999999,15.29428913631968,31.912429398586088,37.51569618591453,69.41435645498211
0.16,14.894230523185042,31.824515842459395,37.56967538631,69.22568371988382
0.18,14.790647904089203,31.605145861856553,37.86891199159329,69.52173042162738
0.19999999999999998,14.819131105339334,31.657821028729035,37.97907996404096,69.84113526752782
0.22,14.806308950265821,31.93234115684294,38.05885175210298,70.43494462304523
0.24,14.445058741960677,31.94901489772491,38.01427577996396,70.62234625434301
0.26,14.13253990198248,32.143964859591144,38.389893514124495,70.27615736736125
0.28,13.919945935252985,32.021151703800555,38.30985085748895,70.39841126701104
0.30000000000000004,13.836765593859479,32.088874339591754,38.46034921573824,68.94511413512177
0.32,13.567624087978762,31.789778911572135,38.72608452741887,68.62554037956505
0.34,13.426850427216088,31.983805420560557,38.95729203666287,69.27802977886097
0.36000000000000004,13.254574430352173,32.068566941974844,39.22102147297482,69.18422946980321
0.38,13.123135267933487,31.392032983524622,39.29277880670496,68.73309922096327
0.4,12.834611074380417,31.796326301969728,39.34808239741154,68.1375194444418
0.42000000000000004,12.848087582910706,31.30140790459552,39.380131090132096,67.87710605371088
0.44,12.947365930321828,30.77479191671155,38.975936451630346,68.03346802170977
0.46,12.720787553632922,30.249849565867315,38.9486700571614,68.88742669158516
0.48000000000000004,12.801803149758053,30.01551020791262,36.26310322908137,69.45526562391017
0.5,12.67414473492627,29.8854822225244,36.6016253407349,69.4828454709224
0.52,12.688672852973479,30.01911962304359,36.8874310555454,70.06176395568733
0.54,12.362495486698828,30.232601360891273,37.27595973401172,69.87303546527302
0.56,11.829793083489852,30.673531980578268,37.54993346100938,69.6916128453868
0.5800000000000001,11.616245217167542,30.75587447976683,36.26288366908182,70.10446145539419
0.6,11.744392346682254,30.19906047367141,36.743068506365134,71.05929803359395
0.62,11.683349427374974,30.226119319107877,36.65817329647945,71.10519769371618
0.64,11.705441373566412,30.870633209839205,37.17978259705957,71.1318092295973
0.66,11.58125884291216,31.01655862587967,35.993527493766166,71.13277780602228
0.68,11.417888405622222,29.191863183533084,36.72345807675366,69.76835059097239
0.7000000000000001,11.386627783504093,29.373562342005467,37.8575405333742,69.92409639065689
0.7200000000000001,11.614029439717207,30.065450218789646,37.305578696003124,68.91461358860296
0.74,11.316389346862243,30.920505896352076,36.44610034699021,69.72052629293006
0.76,11.600111286001157,31.757895978841955,36.38486763288359,71.12812282200305
0.78,11.37593869064614,32.08426709145356,36.00358200395931,72.95936258676952
0.8,10.914172241319104,33.021342850923354,35.24308404213109,73.26287204718282
0.8200000000000001,11.200285487187095,33.881431852333,34.45293061470867,75.09130860160883
0.8400000000000001,11.63598090560706,35.21428908402038,35.19134847212263,75.52321333222538
0.86,11.971111797975668,33.34080728420343,36.17792293787287,77.57337808721783
0.88,12.092781175631645,33.652151619572045,36.97106714342147,73.71101938822449
0.9,10.25798870924497,35.64130604273594,39.12730804614564,71.27400478280612
0.92,10.374354042312643,37.99661603458819,39.45940443533564,75.09231152327058
0.9400000000000001,10.649633001645636,42.55307491959278,37.14509481895368,82.65427079708701
0.9600000000000001,10.349647756454042,49.58468645034157,32.64592159544095,79.79795593080902
0.98,12.44462106173351,67.08137568096134,24.102072820823405,100.94924046801869
