Sparsification_fractions,MVE_rmse_values_Train,MVE_rmse_values_Test,MVE_rmse_values_OOD_EXP,MVE_rmse_values_OOD_MD
0.0,7.1932958014973805,32.24875863269391,37.62862996986911,80.93172135246765
0.001,7.111757855261395,32.24875863269391,37.62862996986911,80.93172135246765
0.002,7.0016650236396645,32.27064359350403,37.62862996986911,80.72242438179036
0.003,6.80917538507274,32.2905757404774,37.62862996986911,80.72242438179036
0.004,6.536931380679445,32.2905757404774,37.62862996986911,80.36817740919761
0.005,6.529392539252507,32.26799756452244,37.295489420287566,80.36817740919761
0.006,6.512614079317915,32.20812641836814,37.295489420287566,80.40175877654818
0.007,6.418213648789737,32.20812641836814,37.295489420287566,80.40175877654818
0.008,6.324813668026074,32.203711550119166,37.295489420287566,80.29420690628271
0.009000000000000001,6.281756652704162,32.19566359473546,37.33729639503551,79.74521145312367
0.01,6.16336056218514,32.19566359473546,37.33729639503551,79.74521145312367
0.011,6.117779767965436,32.21733102377591,37.33729639503551,79.8162636818647
0.012,6.11147886785707,32.109988577527695,37.33729639503551,79.8162636818647
0.013000000000000001,6.086684854744064,32.109988577527695,37.09369284756263,79.81153434807547
0.014,5.9731499591834005,32.10762157970573,37.09369284756263,79.81153434807547
0.015,5.9499303553404115,32.10705714932456,37.09369284756263,79.87993715175772
0.016,5.909090553357031,32.126138411666986,37.09369284756263,79.84589889125608
0.017,5.891500534228702,32.126138411666986,36.97625060478226,79.84589889125608
0.018000000000000002,5.869561197582587,32.139364842021415,36.97625060478226,79.8439560181429
0.019,5.850358154687544,32.14104629340946,36.97625060478226,79.8439560181429
0.02,5.82774044540688,32.14104629340946,36.97625060478226,79.9136972328564
0.021,5.804615270450339,32.164711228892585,37.02302314786355,79.9136972328564
0.022,5.783147870306845,32.173394615261515,37.02302314786355,79.77866491838279
0.023,5.729008912135308,32.173394615261515,37.02302314786355,79.78336620816296
0.024,5.69414761997613,32.19365610503782,37.02302314786355,79.78336620816296
0.025,5.687985253458438,32.20971708840359,37.086958505235714,79.5825212736954
0.026000000000000002,5.6804462823181625,32.20971708840359,37.086958505235714,79.5825212736954
0.027,5.659471564790805,32.217052634719494,37.086958505235714,79.61720899101138
0.028,5.653875312632107,32.225044160619916,37.086958505235714,79.61720899101138
0.029,5.626318598775312,32.21410368002837,37.086958505235714,79.68920195432679
0.03,5.544433230319532,32.21410368002837,36.95684593685133,79.68920195432679
0.031,5.532746327410243,32.2189399998207,36.95684593685133,79.6961862375834
0.032,5.523873145348026,32.24127387343902,36.95684593685133,78.5658779055109
0.033,5.519786095974494,32.24127387343902,36.95684593685133,78.5658779055109
0.034,5.513967449950783,32.25523210788496,36.99662607168583,78.25042832781283
0.035,5.490618480049332,32.26533654840119,36.99662607168583,78.25042832781283
0.036000000000000004,5.487380470777425,32.26533654840119,36.99662607168583,78.32190817815525
0.037,5.453969525741766,32.285477629882074,36.99662607168583,78.32190817815525
0.038,5.447233763395519,32.288279284498344,37.0635175184861,78.39091973722476
