Sparsification_fractions,BNN_rmse_values_Train,BNN_rmse_values_Test,BNN_rmse_values_OOD_EXP,BNN_rmse_values_OOD_MD
0.0,10.890822362083401,31.72553762942127,41.363998990101784,74.44382251085699
0.001,10.196677220392111,31.72553762942127,41.363998990101784,74.44382251085699
0.002,10.041766972115942,31.711333184573082,41.363998990101784,73.77972219222583
0.003,9.883852884181836,31.725232106236973,41.363998990101784,73.77972219222583
0.004,9.619101117762611,31.725232106236973,41.363998990101784,73.74205530786573
0.005,9.27008953461492,31.748184901562478,40.87731700096593,73.74205530786573
0.006,9.022201296691225,31.7582393194902,40.87731700096593,73.6120315249538
0.007,8.995185014842328,31.7582393194902,40.87731700096593,73.6120315249538
0.008,8.90073347422246,31.696423726722877,40.87731700096593,73.57397789690529
0.009000000000000001,8.800282625008087,31.44628479800046,39.89031112839359,73.32349904856943
0.01,8.711388404881237,31.44628479800046,39.89031112839359,73.32349904856943
0.011,8.633759913673915,31.44653194214702,39.89031112839359,73.38501013776019
0.012,8.616090479711504,31.338507662353244,39.89031112839359,73.38501013776019
0.013000000000000001,8.603228641580285,31.338507662353244,39.1560562420472,73.38160257729017
0.014,8.580964792324172,31.358136739087325,39.1560562420472,73.38160257729017
0.015,8.530891846792214,31.104759968459476,39.1560562420472,73.44722760932326
0.016,8.42357044922695,31.094690613904355,39.1560562420472,73.49018362026618
0.017,8.342385436301203,31.094690613904355,38.356941938933936,73.49018362026618
0.018000000000000002,8.317892988314263,31.115134305035408,38.356941938933936,73.44281849051757
0.019,8.309023451920833,31.105003670400748,38.356941938933936,73.44281849051757
0.02,8.239778895864516,31.105003670400748,38.356941938933936,73.14248380320319
0.021,8.175075941905272,31.087768277259972,38.40988720131326,73.14248380320319
0.022,8.110934772523395,31.11062831175213,38.40988720131326,72.98758879781965
0.023,7.923905223818804,31.11062831175213,38.40988720131326,73.05235454335529
0.024,7.856991690921154,31.133651156981404,38.40988720131326,73.05235454335529
0.025,7.773747629847309,31.137212808649284,38.354256462925875,73.00307287434467
0.026000000000000002,7.764322859193131,31.137212808649284,38.354256462925875,73.00307287434467
0.027,7.677599526384662,31.0639698158277,38.354256462925875,72.61784156944499
0.028,7.647887878427919,31.086395598037868,38.354256462925875,72.61784156944499
0.029,7.640413977285161,31.06634893281018,38.354256462925875,72.68316329612959
0.03,7.6202523279282035,31.06634893281018,38.41167109081661,72.68316329612959
0.031,7.605722710758776,30.92548376863029,38.41167109081661,72.39037998587483
0.032,7.594691960072676,30.936265893745134,38.41167109081661,72.4541315447514
0.033,7.560360374738803,30.936265893745134,38.41167109081661,72.4541315447514
0.034,7.549101219529259,30.775988826472222,38.40098570842101,72.39735519418682
0.035,7.5167237533921885,30.791630005993913,38.40098570842101,72.39735519418682
0.036000000000000004,7.482973141510496,30.791630005993913,38.40098570842101,72.41708664789468
0.037,7.458040799181365,30.81349217521543,38.40098570842101,72.41708664789468
0.038,7.459689652157548,30.763200142807563,38.35667648736495,72.41986866567382
0.039,7.406690316019771,30.763200142807563,38.35667648736495,72.22673093197318
0.04,7.359831796595625,30.745728118950165,38.35667648736495,72.22673093197318
