Expected_Confidence,GPR_Observed_Confidence_Train,GPR_Observed_Confidence_Test,GPR_Observed_Confidence_OOD_EXP,GPR_Observed_Confidence_OOD_MD
0.0,0.0,0.0,0.0,0.0
0.01,0.014298642533936652,0.013024602026049204,0.0,0.0017667844522968198
0.02,0.02497737556561086,0.017366136034732273,0.004166666666666667,0.007067137809187279
0.03,0.039819004524886875,0.024602026049204053,0.004166666666666667,0.014134275618374558
0.04,0.052850678733031675,0.030390738060781478,0.0125,0.0176678445229682
0.05,0.06588235294117648,0.03762662807525326,0.0125,0.022968197879858657
0.06,0.08018099547511312,0.05499276410998553,0.0125,0.026501766784452298
0.07,0.09285067873303167,0.07091172214182344,0.025,0.030035335689045935
0.08,0.10950226244343891,0.07959479015918958,0.029166666666666667,0.03180212014134275
0.09,0.12253393665158371,0.09261939218523878,0.05,0.0353356890459364
0.1,0.13429864253393664,0.09840810419681621,0.05416666666666667,0.037102473498233215
0.11,0.1502262443438914,0.10419681620839363,0.06666666666666667,0.038869257950530034
0.12,0.16199095022624435,0.11432706222865413,0.06666666666666667,0.038869257950530034
0.13,0.17357466063348417,0.12445730824891461,0.08333333333333333,0.04240282685512368
0.14,0.18787330316742082,0.13024602026049203,0.09166666666666666,0.04240282685512368
0.15,0.20108597285067872,0.1345875542691751,0.1125,0.045936395759717315
0.16,0.21321266968325792,0.1389290882778582,0.1125,0.04770318021201413
0.17,0.23239819004524886,0.15340086830680175,0.12083333333333333,0.04946996466431095
0.18,0.2439819004524887,0.16642547033285093,0.12916666666666668,0.054770318021201414
0.19,0.2573755656108597,0.1736613603473227,0.12916666666666668,0.06007067137809187
0.2,0.26805429864253394,0.17945007235890015,0.14166666666666666,0.06890459363957598
0.21,0.27945701357466063,0.1939218523878437,0.14583333333333334,0.07243816254416961
0.22,0.2917647058823529,0.19971056439942114,0.15,0.07420494699646643
0.23,0.30552036199095023,0.21273516642547033,0.15833333333333333,0.07950530035335689
0.24,0.31800904977375566,0.22575976845151954,0.17083333333333334,0.08480565371024736
0.25,0.33176470588235296,0.2460202604920405,0.18333333333333332,0.08833922261484099
0.26,0.34624434389140274,0.26049204052098407,0.19583333333333333,0.09010600706713781
0.27,0.3560180995475113,0.2706222865412446,0.2,0.09540636042402827
0.28,0.3650678733031674,0.276410998552822,0.20416666666666666,0.10070671378091872
0.29,0.37592760180995477,0.28509406657018815,0.20833333333333334,0.10070671378091872
0.3,0.3878733031674208,0.28798842257597684,0.22916666666666666,0.10070671378091872
0.31,0.3974660633484163,0.29667149059334297,0.25,0.10600706713780919
0.32,0.40850678733031676,0.3024602026049204,0.25,0.10777385159010601
0.33,0.4206334841628959,0.3096960926193922,0.25833333333333336,0.10777385159010601
0.34,0.4302262443438914,0.3125904486251809,0.2791666666666667,0.10954063604240283
0.35000000000000003,0.43945701357466066,0.31693198263386396,0.2791666666666667,0.11307420494699646
0.36,0.44778280542986426,0.32416787264833574,0.2791666666666667,0.1166077738515901
0.37,0.4553846153846154,0.3342981186685962,0.2833333333333333,0.11837455830388692
0.38,0.4655203619909502,0.341534008683068,0.2875,0.1254416961130742
0.39,0.4756561085972851,0.3458755426917511,0.3,0.12897526501766785
0.4,0.48380090497737555,0.35311143270622286,0.30833333333333335,0.13250883392226148
0.41000000000000003,0.49176470588235294,0.36468885672937773,0.3125,0.13780918727915195
0.42,0.5008144796380091,0.37771345875542695,0.32083333333333336,0.14487632508833923
0.43,0.5120361990950226,0.38929088277858176,0.32083333333333336,0.14487632508833923
0.44,0.5189140271493212,0.3921852387843705,0.325,0.14840989399293286
0.45,0.5283257918552037,0.3979739507959479,0.3416666666666667,0.1501766784452297
0.46,0.5359276018099548,0.4109985528219971,0.3458333333333333,0.15724381625441697
0.47000000000000003,0.545158371040724,0.4196816208393632,0.35,0.16431095406360424
0.48,0.5527601809954751,0.43270622286541244,0.36666666666666664,0.16607773851590105
0.49,0.5603619909502262,0.4370477568740955,0.38333333333333336,0.17137809187279152
0.5,0.5697737556561085,0.4515195369030391,0.3958333333333333,0.17491166077738515
0.51,0.5782805429864254,0.4602026049204052,0.4,0.18021201413427562
