Expected_Confidence,GPR_Observed_Confidence_Train,GPR_Observed_Confidence_Test,GPR_Observed_Confidence_OOD_EXP,GPR_Observed_Confidence_OOD_MD
0.8,0.786606334841629,0.6845151953690304,0.6666666666666666,0.32685512367491165
0.81,0.7931221719457013,0.6874095513748191,0.675,0.3339222614840989
0.8200000000000001,0.7989140271493212,0.6931982633863966,0.6875,0.3409893992932862
0.8300000000000001,0.8068778280542986,0.6960926193921853,0.6958333333333333,0.3498233215547703
0.84,0.811945701357466,0.7004341534008683,0.7083333333333334,0.3621908127208481
0.85,0.8171945701357466,0.7105643994211288,0.7166666666666667,0.3710247349823322
0.86,0.8224434389140272,0.7206946454413893,0.7208333333333333,0.37809187279151946
0.87,0.8300452488687783,0.7279305354558611,0.725,0.39752650176678445
0.88,0.8354751131221719,0.7395079594790159,0.7291666666666666,0.40636042402826855
0.89,0.8421719457013574,0.7452966714905933,0.7333333333333333,0.42226148409893993
0.9,0.848868778280543,0.7554269175108539,0.75,0.42579505300353354
0.91,0.8570135746606334,0.7670043415340086,0.7625,0.4363957597173145
0.92,0.8633484162895928,0.7785817655571635,0.7791666666666667,0.4469964664310954
0.93,0.8705882352941177,0.7901591895803184,0.7833333333333333,0.4558303886925795
0.9400000000000001,0.8798190045248869,0.8017366136034733,0.8,0.4664310954063604
0.9500000000000001,0.8890497737556561,0.8147612156295224,0.8125,0.4787985865724382
0.96,0.8990045248868779,0.829232995658466,0.8166666666666667,0.5053003533568905
0.97,0.9089592760180996,0.8465991316931982,0.8583333333333333,0.5353356890459364
0.98,0.9205429864253394,0.8683068017366136,0.8875,0.5530035335689046
0.99,0.9357466063348416,0.8827785817655571,0.9166666666666666,0.5848056537102474
1.0,1.0,1.0,1.0,1.0
