Expected_Confidence,Ensemble_Observed_Confidence_Train,Ensembel_Observed_Confidence_Test,Ensemble_Observed_Confidence_OOD_EXP,Ensemble_Observed_Confidence_OOD_MD
0.0,0.0,0.0,0.0,0.0
0.01,0.02081447963800905,0.004341534008683068,0.004166666666666667,0.0
0.02,0.040542986425339364,0.005788712011577424,0.0125,0.0
0.03,0.0579185520361991,0.008683068017366137,0.0125,0.0
0.04,0.07782805429864253,0.010130246020260492,0.016666666666666666,0.0017667844522968198
0.05,0.09393665158371041,0.011577424023154847,0.020833333333333332,0.0035335689045936395
0.06,0.11257918552036199,0.013024602026049204,0.020833333333333332,0.00530035335689046
0.07,0.13647058823529412,0.013024602026049204,0.025,0.007067137809187279
0.08,0.15565610859728507,0.01447178002894356,0.025,0.007067137809187279
0.09,0.17701357466063347,0.01881331403762663,0.029166666666666667,0.01060070671378092
0.1,0.19638009049773755,0.02170767004341534,0.029166666666666667,0.012367491166077738
0.11,0.21357466063348415,0.027496382054992764,0.029166666666666667,0.012367491166077738
0.12,0.23058823529411765,0.030390738060781478,0.03333333333333333,0.014134275618374558
0.13,0.2481447963800905,0.03183791606367583,0.0375,0.019434628975265017
0.14,0.26823529411764707,0.03473227206946455,0.0375,0.02120141342756184
0.15,0.28705882352941176,0.0361794500723589,0.04583333333333333,0.024734982332155476
0.16,0.3026244343891403,0.03762662807525326,0.04583333333333333,0.026501766784452298
0.17,0.3207239819004525,0.04341534008683068,0.04583333333333333,0.030035335689045935
0.18,0.3388235294117647,0.04630969609261939,0.05416666666666667,0.030035335689045935
0.19,0.35638009049773756,0.049204052098408106,0.058333333333333334,0.03180212014134275
0.2,0.37429864253393663,0.05209840810419682,0.058333333333333334,0.03356890459363958
0.21,0.3905882352941176,0.056439942112879886,0.058333333333333334,0.0353356890459364
0.22,0.40434389140271493,0.06367583212735166,0.0625,0.038869257950530034
0.23,0.41846153846153844,0.06512301013024602,0.0625,0.04063604240282685
0.24,0.43402714932126696,0.06512301013024602,0.075,0.04063604240282685
0.25,0.4495927601809955,0.06512301013024602,0.07916666666666666,0.04063604240282685
0.26,0.4606334841628959,0.06512301013024602,0.07916666666666666,0.04240282685512368
0.27,0.4765610859728507,0.06801736613603473,0.07916666666666666,0.04240282685512368
0.28,0.4930316742081448,0.06801736613603473,0.07916666666666666,0.04240282685512368
0.29,0.5062443438914027,0.07380607814761216,0.07916666666666666,0.04240282685512368
0.3,0.5209049773755656,0.07670043415340087,0.07916666666666666,0.044169611307420496
0.31,0.536289592760181,0.08104196816208394,0.07916666666666666,0.044169611307420496
0.32,0.5500452488687783,0.08393632416787265,0.07916666666666666,0.044169611307420496
0.33,0.5641628959276018,0.085383502170767,0.08333333333333333,0.044169611307420496
0.34,0.5764705882352941,0.08972503617945007,0.0875,0.044169611307420496
0.35000000000000003,0.5885972850678733,0.09261939218523878,0.09583333333333334,0.04770318021201413
0.36,0.6010859728506788,0.09840810419681621,0.09583333333333334,0.04946996466431095
0.37,0.6146606334841629,0.10130246020260492,0.10416666666666667,0.04946996466431095
0.38,0.6284162895927602,0.10130246020260492,0.10833333333333334,0.053003533568904596
0.39,0.6392760180995475,0.10274963820549927,0.10833333333333334,0.053003533568904596
0.4,0.653212669683258,0.10564399421128799,0.10833333333333334,0.05653710247349823
0.41000000000000003,0.6671493212669684,0.11432706222865413,0.10833333333333334,0.05653710247349823
0.42,0.6790950226244344,0.11577424023154848,0.10833333333333334,0.05830388692579505
0.43,0.6892307692307692,0.11866859623733719,0.10833333333333334,0.05830388692579505
0.44,0.7017194570135746,0.12011577424023155,0.10833333333333334,0.05830388692579505
0.45,0.709683257918552,0.12156295224312591,0.10833333333333334,0.06007067137809187
0.46,0.7190950226244344,0.12590448625180897,0.1125,0.061837455830388695
0.47000000000000003,0.7268778280542987,0.1287988422575977,0.1125,0.061837455830388695
0.48,0.7384615384615385,0.1345875542691751,0.1125,0.061837455830388695
0.49,0.7478733031674208,0.1389290882778582,0.1125,0.061837455830388695
0.5,0.755656108597285,0.14327062228654125,0.1125,0.061837455830388695
0.51,0.7656108597285067,0.1447178002894356,0.11666666666666667,0.0636042402826855
0.52,0.7717647058823529,0.14616497829232997,0.11666666666666667,0.0636042402826855
0.53,0.7797285067873303,0.15195369030390737,0.11666666666666667,0.0636042402826855
0.54,0.788235294117647,0.15629522431259044,0.11666666666666667,0.0636042402826855
0.55,0.7960180995475113,0.15629522431259044,0.11666666666666667,0.0636042402826855
0.56,0.8056108597285068,0.16208393632416787,0.11666666666666667,0.0636042402826855
0.5700000000000001,0.8117647058823529,0.1678726483357453,0.11666666666666667,0.0636042402826855
0.58,0.819185520361991,0.17221418234442837,0.11666666666666667,0.06890459363957598
0.59,0.8273303167420815,0.17655571635311143,0.11666666666666667,0.06890459363957598
0.6,0.8352941176470589,0.17800289435600578,0.11666666666666667,0.06890459363957598
0.61,0.8416289592760181,0.1808972503617945,0.12083333333333333,0.07243816254416961
0.62,0.8490497737556562,0.1837916063675832,0.125,0.07597173144876325
0.63,0.8548416289592761,0.18523878437047755,0.125,0.07773851590106007
0.64,0.8602714932126697,0.18813314037626627,0.125,0.0812720848056537
0.65,0.8669683257918552,0.191027496382055,0.14166666666666666,0.0812720848056537
0.66,0.8707692307692307,0.19247467438494936,0.14166666666666666,0.0812720848056537
0.67,0.87710407239819,0.1939218523878437,0.14583333333333334,0.0812720848056537
0.68,0.8819909502262443,0.19826338639652677,0.14583333333333334,0.0812720848056537
0.6900000000000001,0.8866968325791855,0.20549927641099855,0.14583333333333334,0.0812720848056537
0.7000000000000001,0.8917647058823529,0.2098408104196816,0.15416666666666667,0.08303886925795052
0.71,0.8959276018099548,0.21273516642547033,0.1625,0.08303886925795052
0.72,0.8980995475113123,0.2141823444283647,0.1625,0.08480565371024736
0.73,0.9017194570135747,0.21852387843704776,0.175,0.08657243816254417
0.74,0.9053393665158371,0.22431259044862517,0.17916666666666667,0.09010600706713781
0.75,0.9084162895927602,0.2301013024602026,0.1875,0.09010600706713781
0.76,0.9129411764705883,0.23444283646888567,0.19166666666666668,0.09010600706713781
0.77,0.9161990950226244,0.24167872648335745,0.19166666666666668,0.09187279151943463
0.78,0.9192760180995475,0.2503617945007236,0.19583333333333333,0.09540636042402827
0.79,0.9219909502262443,0.25615050651230103,0.20416666666666666,0.09540636042402827
0.8,0.9261538461538461,0.2575976845151954,0.20416666666666666,0.09717314487632508
0.81,0.9295927601809955,0.2633863965267728,0.20416666666666666,0.10070671378091872
0.8200000000000001,0.9321266968325792,0.2735166425470333,0.22083333333333333,0.10247349823321555
0.8300000000000001,0.9341176470588235,0.2821997105643994,0.22916666666666666,0.10600706713780919
0.84,0.9373755656108598,0.2865412445730825,0.22916666666666666,0.10600706713780919
0.85,0.9399095022624434,0.29088277858176553,0.22916666666666666,0.10777385159010601
0.86,0.9424434389140272,0.29667149059334297,0.23333333333333334,0.10954063604240283
0.87,0.945158371040724,0.30824891461649784,0.24166666666666667,0.11307420494699646
0.88,0.9485972850678733,0.3125904486251809,0.24166666666666667,0.1166077738515901
0.89,0.951131221719457,0.31982633863965265,0.25416666666666665,0.11837455830388692
0.9,0.9529411764705882,0.32850940665701883,0.26666666666666666,0.12367491166077739
0.91,0.9554751131221719,0.341534008683068,0.2708333333333333,0.13074204946996468
0.92,0.9569230769230769,0.3458755426917511,0.275,0.13957597173144876
0.93,0.9590950226244344,0.3516642547033285,0.275,0.14664310954063603
0.9400000000000001,0.9610859728506788,0.36468885672937773,0.2833333333333333,0.15724381625441697
0.9500000000000001,0.9632579185520362,0.37626628075253254,0.2875,0.1607773851590106
0.96,0.9668778280542987,0.3878437047756874,0.30833333333333335,0.1607773851590106
0.97,0.9685067873303167,0.40665701881331406,0.325,0.16431095406360424
0.98,0.9712217194570135,0.41678726483357453,0.3416666666666667,0.16784452296819788
0.99,0.9761085972850678,0.4544138929088278,0.38333333333333336,0.18197879858657243
1.0,1.0,1.0,1.0,1.0
