Expected_Confidence,BNN_Observed_Confidence_Train,BNN_Observed_Confidence_Test,BNN_Observed_Confidence_OOD_EXP,BNN_Observed_Confidence_OOD_MD
0.0,0.0,0.0,0.0,0.0
0.01,0.014660633484162897,0.014660633484162897,0.0,0.0017667844522968198
0.02,0.027873303167420815,0.027873303167420815,0.0,0.007067137809187279
0.03,0.04506787330316742,0.04506787330316742,0.0,0.007067137809187279
0.04,0.06153846153846154,0.06153846153846154,0.0,0.0088339222614841
0.05,0.07438914027149321,0.07438914027149321,0.0,0.01060070671378092
0.06,0.0881447963800905,0.0881447963800905,0.0,0.012367491166077738
0.07,0.09972850678733032,0.09972850678733032,0.0,0.012367491166077738
0.08,0.11547511312217194,0.11547511312217194,0.0,0.014134275618374558
0.09,0.13031674208144797,0.13031674208144797,0.0,0.014134275618374558
0.1,0.1428054298642534,0.1428054298642534,0.0,0.0176678445229682
0.11,0.15728506787330318,0.15728506787330318,0.0,0.0176678445229682
0.12,0.17104072398190046,0.17104072398190046,0.004166666666666667,0.0176678445229682
0.13,0.1844343891402715,0.1844343891402715,0.004166666666666667,0.019434628975265017
0.14,0.19728506787330316,0.19728506787330316,0.008333333333333333,0.019434628975265017
0.15,0.2115837104072398,0.2115837104072398,0.008333333333333333,0.022968197879858657
0.16,0.22570135746606335,0.22570135746606335,0.008333333333333333,0.026501766784452298
0.17,0.23638009049773756,0.23638009049773756,0.008333333333333333,0.030035335689045935
0.18,0.25104072398190047,0.25104072398190047,0.0125,0.03180212014134275
0.19,0.2669683257918552,0.2669683257918552,0.0125,0.03180212014134275
0.2,0.27692307692307694,0.27692307692307694,0.025,0.0353356890459364
0.21,0.29266968325791853,0.29266968325791853,0.029166666666666667,0.037102473498233215
0.22,0.3075113122171946,0.3075113122171946,0.029166666666666667,0.038869257950530034
0.23,0.3218099547511312,0.3218099547511312,0.029166666666666667,0.04240282685512368
0.24,0.33610859728506787,0.33610859728506787,0.029166666666666667,0.044169611307420496
0.25,0.34877828054298643,0.34877828054298643,0.029166666666666667,0.044169611307420496
0.26,0.361447963800905,0.361447963800905,0.029166666666666667,0.045936395759717315
0.27,0.3732126696832579,0.3732126696832579,0.029166666666666667,0.04946996466431095
0.28,0.3887782805429864,0.3887782805429864,0.029166666666666667,0.04946996466431095
0.29,0.3992760180995475,0.3992760180995475,0.03333333333333333,0.04946996466431095
0.3,0.4117647058823529,0.4117647058823529,0.03333333333333333,0.04946996466431095
0.31,0.4231674208144796,0.4231674208144796,0.041666666666666664,0.04946996466431095
0.32,0.43710407239819005,0.43710407239819005,0.041666666666666664,0.04946996466431095
0.33,0.4506787330316742,0.4506787330316742,0.041666666666666664,0.04946996466431095
0.34,0.46497737556561086,0.46497737556561086,0.041666666666666664,0.05123674911660778
0.35000000000000003,0.4776470588235294,0.4776470588235294,0.04583333333333333,0.05123674911660778
0.36,0.4899547511312217,0.4899547511312217,0.05416666666666667,0.053003533568904596
0.37,0.502262443438914,0.502262443438914,0.058333333333333334,0.053003533568904596
0.38,0.5158371040723982,0.5158371040723982,0.0625,0.053003533568904596
0.39,0.5283257918552037,0.5283257918552037,0.06666666666666667,0.054770318021201414
0.4,0.5395475113122172,0.5395475113122172,0.07083333333333333,0.054770318021201414
0.41000000000000003,0.5500452488687783,0.5500452488687783,0.07916666666666666,0.05653710247349823
0.42,0.5610859728506787,0.5610859728506787,0.07916666666666666,0.05830388692579505
0.43,0.5712217194570136,0.5712217194570136,0.08333333333333333,0.061837455830388695
0.44,0.5817194570135746,0.5817194570135746,0.0875,0.0636042402826855
0.45,0.591131221719457,0.591131221719457,0.09583333333333334,0.06537102473498234
0.46,0.6038009049773756,0.6038009049773756,0.09583333333333334,0.06537102473498234
0.47000000000000003,0.6164705882352941,0.6164705882352941,0.1,0.06713780918727916
0.48,0.6262443438914027,0.6262443438914027,0.10416666666666667,0.06890459363957598
0.49,0.6352941176470588,0.6352941176470588,0.10833333333333334,0.0706713780918728
0.5,0.6454298642533937,0.6454298642533937,0.10833333333333334,0.07243816254416961
0.51,0.6568325791855204,0.6568325791855204,0.10833333333333334,0.07243816254416961
0.52,0.6667873303167421,0.6667873303167421,0.1125,0.07950530035335689
0.53,0.6754751131221719,0.6754751131221719,0.11666666666666667,0.07950530035335689
0.54,0.6836199095022625,0.6836199095022625,0.11666666666666667,0.0812720848056537
0.55,0.6928506787330316,0.6928506787330316,0.125,0.08303886925795052
0.56,0.7042533936651584,0.7042533936651584,0.12916666666666668,0.08657243816254417
