Expected_Confidence,MVE_Observed_Confidence_Train,MVE_Observed_Confidence_Test,MVE_Observed_Confidence_OOD_EXP,MVE_Observed_Confidence_OOD_MD
0.0,0.0,0.0,0.0,0.0
0.01,0.008506787330316743,0.008506787330316743,0.004166666666666667,0.0
0.02,0.013574660633484163,0.013574660633484163,0.0125,0.0
0.03,0.019004524886877826,0.019004524886877826,0.0125,0.0
0.04,0.024615384615384615,0.024615384615384615,0.0125,0.0
0.05,0.03076923076923077,0.03076923076923077,0.016666666666666666,0.0017667844522968198
0.06,0.036923076923076927,0.036923076923076927,0.016666666666666666,0.0017667844522968198
0.07,0.04271493212669683,0.04271493212669683,0.016666666666666666,0.0017667844522968198
0.08,0.05049773755656108,0.05049773755656108,0.016666666666666666,0.0017667844522968198
0.09,0.05574660633484163,0.05574660633484163,0.016666666666666666,0.0017667844522968198
0.1,0.06280542986425339,0.06280542986425339,0.016666666666666666,0.0017667844522968198
0.11,0.07004524886877828,0.07004524886877828,0.016666666666666666,0.0017667844522968198
0.12,0.07565610859728507,0.07565610859728507,0.016666666666666666,0.0017667844522968198
0.13,0.08180995475113122,0.08180995475113122,0.016666666666666666,0.0017667844522968198
0.14,0.08742081447963801,0.08742081447963801,0.016666666666666666,0.0035335689045936395
0.15,0.09610859728506788,0.09610859728506788,0.016666666666666666,0.0035335689045936395
0.16,0.10171945701357465,0.10171945701357465,0.016666666666666666,0.0035335689045936395
0.17,0.10696832579185521,0.10696832579185521,0.016666666666666666,0.0035335689045936395
0.18,0.11203619909502262,0.11203619909502262,0.020833333333333332,0.0035335689045936395
0.19,0.11800904977375566,0.11800904977375566,0.020833333333333332,0.0035335689045936395
0.2,0.12452488687782805,0.12452488687782805,0.020833333333333332,0.0035335689045936395
0.21,0.12959276018099547,0.12959276018099547,0.020833333333333332,0.00530035335689046
0.22,0.13574660633484162,0.13574660633484162,0.020833333333333332,0.00530035335689046
0.23,0.1420814479638009,0.1420814479638009,0.025,0.00530035335689046
